SIRET,Enseigne,Commune étab.,Existe déjà sur le refeEngagemet,source dans le refeEngagement,Action dev à faire sur ReferentielEngagementEntreprise
33414954900027,"""CONVERSAT FORGES""",BIESLES,33414954900027,"[""france-travail""]",Rien à faire 
41035277700024,***GLAXO SMITH KLINE***,EVREUX,41035277700024,"[""france-travail""]",Rien à faire 
44460844210892,***SOCIETE C6,LES PENNES MIRABEAU,44460844210892,"[""france-travail""]",Rien à faire 
89991099600011,02 CARE SERVICES,LA TRINITE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
49942624500027,02 FONTAINEBLEAU - AVON,FONTAINEBLEAU,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
50020288200022,02 RAMBOUILLET,RAMBOUILLET,50020288200022,"[""france-travail""]",Rien à faire 
41916548500014,2.E.2.I.,BONNEUIL SUR MARNE,41916548500014,"[""france-travail""]",Rien à faire 
89071825700029,2R ORANGE,ORANGE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
44981281700061,2TMC,SURY LE COMTAL,44981281700061,"[""france-travail""]",Rien à faire 
44981281700087,2TMC - VOYAGES SESSIECQ,MONTBRISON,44981281700087,"[""france-travail""]",Rien à faire 
44981281700095,2TMC - VOYAGES SESSIECQ,MONTBRISON,44981281700095,"[""france-travail""]",Rien à faire 
88492165100011,3 BRASSEURS,LOUVROIL,88492165100011,"[""france-travail""]",Rien à faire 
83469850800027,30 AIDES,MARGUERITTES,83469850800027,"[""france-travail""]",Rien à faire 
5420041500153,37 EXPRESS TOURAINE COURSE,ROCHEFORT,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
66202519641487,3775 CODE INTERNE,BRANTOME EN PERIGORD,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
83923701300017,3D-EST,TAGOLSHEIM,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
51127853300027,3MEDIA,PONT STE MARIE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
89357139800013,3R FLORILEGES SERVICES,ST SULPICE LA POINTE,89357139800013,"[""france-travail""]",Rien à faire 
45262598100140,4 CAD PLM,BOUGUENAIS,45262598100140,"[""france-travail""]",Rien à faire 
66202519632726,4445 IP BORDEAUX,BEGLES,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
44460844212880,62 A 73,BEAUGENCY,44460844212880,"[""france-travail""]",Rien à faire 
31247826605693,650539,MONTIGNY LES METZ,31247826605693,"[""france-travail""]",Rien à faire 
39252740403052,7H,DUNKERQUE,39252740403052,"[""france-travail""]",Rien à faire 
15000044600016,8E REGIMENT PARACHUT INFANTERIE MARINE,CASTRES,15000044600016,"[""france-travail""]",Rien à faire 
38071837900080,@COM.TARN,BRENS,38071837900080,"[""france-travail""]",Rien à faire 
44038859300020,A C INTERNATIONAL,NEUILLY ST FRONT,44038859300020,"[""france-travail""]",Rien à faire 
49981950600027,A DOMULTISERVICES,ST SULPICE LA POINTE,49981950600027,"[""france-travail""]",Rien à faire 
38099400400014,A P A C 29,LOTHEY,38099400400014,"[""france-travail""]",Rien à faire 
30294931800430,A P A J H,LA FLECHE,30294931800430,"[""france-travail""]",Rien à faire 
30294931800042,A P A J H,LE MANS,30294931800042,"[""france-travail""]",Rien à faire 
41269168500041,A P AIPS,NANTERRE,41269168500041,"[""france-travail""]",Rien à faire 
51924291100047,A P'TITS PAS,DRACY LE FORT,51924291100047,"[""lba""]","Ajouter dans le champ source ""france-travail"" et màj le champ ""Updated At"" "
41197457900053,A TOUT ENVIRONNEMENT,ANGERS,41197457900053,"[""france-travail""]",Rien à faire 
71288083000096,A-G-NET,STE SAVINE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
51386116100026,A.A.T.C.,MARSSAC SUR TARN,51386116100026,"[""france-travail""]",Rien à faire 
79443852300035,A.G.E,VILLEJUIF,79443852300035,"[""france-travail""]",Rien à faire 
39847427000038,A.H.G. TRANSPORT,VALENTON,39847427000038,"[""france-travail""]",Rien à faire 
52366280700024,A.I.A.,ST DENIS,52366280700024,"[""france-travail""]",Rien à faire 
52366280700032,A.I.A.,LESQUIN,52366280700032,"[""france-travail""]",Rien à faire 
44859320200022,A.J CURIE,CALAIS,44859320200022,"[""france-travail""]",Rien à faire 
80130767900010,A.N.C.,ROUBAIX,80130767900010,"[""france-travail""]",Rien à faire 
49774852500019,A.P.R.S.,BAYONNE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
33435347100652,A.R.I. LES ATELIERS DE PROVENCE,CARNOUX EN PROVENCE,33435347100652,"[""france-travail""]",Rien à faire 
40164653400057,A.S.T.I.,ROANNE,40164653400057,"[""france-travail""]",Rien à faire 
44242315800025,A.T. PRODUCTIONS SARL,GRAULHET,44242315800025,"[""france-travail""]",Rien à faire 
50405521100016,A.T.S. LASER,LA LOUBIERE,50405521100016,"[""france-travail""]",Rien à faire 
79982473500036,A2L FORMATION,LABASTIDE ST PIERRE,79982473500036,"[""france-travail""]",Rien à faire 
79982473500044,A2L FORMATION,BRESSOLS,79982473500044,"[""france-travail""]",Rien à faire 
50947958000037,A2MICILE DOUAISIS,DOUAI,50947958000037,"[""france-travail""]",Rien à faire 
90240536400016,A2S INTERIM,COLMAR,90240536400016,"[""france-travail""]",Rien à faire 
44386706400307,AAD FRANCE PRESENCE,CHAMBERY,44386706400307,"[""france-travail""]",Rien à faire 
49305747500037,AADP,PANTIN,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
51851541600338,AAF LA PROVIDENCE,IVRY SUR SEINE,51851541600338,"[""france-travail""]",Rien à faire 
77565453600231,AAPEI EPANOU,ANNECY,77565453600231,"[""france-travail""]",Rien à faire 
50881965300017,AB ENERGIES,SEVERAC D AVEYRON,50881965300017,"[""france-travail""]",Rien à faire 
78879530000029,ABATTOIR DE PROXIMITE D'ANDREZIEUX-BOUTH,ANDREZIEUX BOUTHEON,78879530000029,"[""france-travail""]",Rien à faire 
50751829800017,ABATTOIR ET DECOUPES DES TUILERIES,BEAUVAIS SUR TESCOU,50751829800017,"[""france-travail""]",Rien à faire 
82400659700036,ABB SERVICES,JOUX LA VILLE,82400659700036,"[""france-travail""]",Rien à faire 
45345306000221,ABER PROPRETE,GERZAT,45345306000221,"[""france-travail""]",Rien à faire 
42371293400185,ABER PROPRETE,LE PLESSIS GRAMMOIRE,42371293400185,"[""france-travail""]",Rien à faire 
90278517900026,ABF SERVICES,OBJAT,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
47897787900012,ABI,ILLKIRCH GRAFFENSTADEN,47897787900012,"[""france-travail""]",Rien à faire 
39102762000155,ABMI GROUPE,NANTERRE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
