ClientCode,OrderNumber,Label,Enabled,Region,GoogleRef,DefaultLCID,Ville
_TS_CO_etab_APE LA RIVIERE (68155),182,Agence LA RIVIERE ,True,_TS_CO_Department_Runion974,97450,1036,SAINT LOUIS
_TS_CO_etab_APE PARIS 15 EME BRIANCON (75192),10,Agence PARIS 15 EME BRIANCON,True,_TS_CO_Department_Paris75,75015,1036,PARIS 15
_TS_CO_etab_34238,3,ALE Martigues ,True,_TS_CO_Department_BouchesduRhne13,13056,1036,MARTIGUES
_TS_CO_etab_75676,1,ALE Sèvres ,True,_TS_CO_Department_HautsdeSeine92,92072,1036,SEVRES
_TS_CO_etab_75299,1,Agence Paris 18ème - Genevoix,True,_TS_CO_Department_Paris75,75118,1036,PARIS 18
_TS_CO_etab_59031,1,Agence ABBEVILLE ,True,_TS_CO_Department_Somme80,80001,1036,ABBEVILLE
_TS_CO_etab_75939,1,Agence AEROPORTUAIRE ROISSY CDG ,True,_TS_CO_Department_ValdOise95,95527,1036,ROISSY EN FRANCE
_TS_CO_etab_76102,585,Agence AGDE ,True,_TS_CO_Department_Hrault34,34003,1036,AGDE
_TS_CO_etab_33039,1,Agence AGEN ,True,_TS_CO_Department_LotetGaronne47,47001,1036,AGEN
_TS_CO_etab_34374,4,Agence AIX GALICE ,True,_TS_CO_Department_BouchesduRhne13,13001,1036,AIX EN PROVENCE
_TS_CO_etab_84080,587,Agence AIX LES BAINS ,True,_TS_CO_Department_Savoie73,73008,1036,AIX LES BAINS
_TS_CO_etab_34017,5,Agence AIX VALLEE DE L ARC ,True,_TS_CO_Department_BouchesduRhne13,13001,1036,AIX EN PROVENCE
_TS_CO_etab_65010,589,Agence AJACCIO ,True,_TS_CO_Department_CorseduSud2a,2A004,1036,AJACCIO
_TS_CO_etab_84103,590,Agence ALBERTVILLE ,True,_TS_CO_Department_Savoie73,73011,1036,ALBERTVILLE
_TS_CO_etab_76037,10,Agence ALBI ,True,_TS_CO_Department_Tarn81,81004,1036,ALBI
_TS_CO_etab_28057,594,Agence ALENCON ,True,_TS_CO_Department_Orne61,61001,1036,ALENCON
_TS_CO_etab_76100,596,Agence ALES AVENE ,True,_TS_CO_Department_Gard30,30007,1036,ALES
_TS_CO_etab_76099,597,Agence ALES GARDON ,True,_TS_CO_Department_Gard30,30007,1036,ALES
_TS_CO_etab_54003,598,Agence ALTKIRCH ,True,_TS_CO_Department_HautRhin68,68004,1036,ALTKIRCH
_TS_CO_etab_84037,1,Agence AMBERIEU ,True,_TS_CO_Department_Ain01,1004,1036,AMBERIEU EN BUGEY
_TS_CO_etab_84306,2,Agence AMBERIEU ,True,_TS_CO_Department_Ain01,1004,1036,AMBERIEU EN BUGEY
_TS_CO_etab_35237,602,Agence AMBOISE ,True,_TS_CO_Department_IndreetLoire37,37163,1036,NAZELLES NEGRON
_TS_CO_etab_59017,4,Agence AMIENS GARE,True,_TS_CO_Department_Somme80,80021,1036,AMIENS
_TS_CO_etab_13929,183,Agence ANCENIS ,True,_TS_CO_Department_LoireAtlantique44,44003,1036,ANCENIS ST GEREON
_TS_CO_etab_33056,2,Agence ANDERNOS ,True,_TS_CO_Department_Gironde33,33005,1036,ANDERNOS LES BAINS
_TS_CO_etab_84009,608,Agence ANDREZIEUX PFP ,True,_TS_CO_Department_Loire42,42005,1036,ANDREZIEUX BOUTHEON
_TS_CO_etab_13831,1,Agence ANGERS BALZAC ,True,_TS_CO_Department_MaineetLoire49,49007,1036,ANGERS
_TS_CO_etab_13930,2,Agence ANGERS CAPUCINS ,True,_TS_CO_Department_MaineetLoire49,49007,1036,ANGERS
_TS_CO_etab_13915,3,Agence ANGERS EUROPE ,True,_TS_CO_Department_MaineetLoire49,49007,1036,ANGERS
_TS_CO_etab_13932,4,Agence ANGERS ROSERAIE ,True,_TS_CO_Department_MaineetLoire49,49007,1036,ANGERS
_TS_CO_etab_33076,613,Agence ANGOULEME LA COURONNE ,True,_TS_CO_Department_Charente16,16113,1036,LA COURONNE
_TS_CO_etab_33067,614,Agence ANGOULEME ST MARTIAL ,True,_TS_CO_Department_Charente16,16015,1036,ANGOULEME
