_id;rome.code_rome;rome.intitule;sous_domaine
67d02f495ae35db62340c523;G1206;Croupier / Croupière;Tourisme : conception de produits touristiques, voyages
67d02f495ae35db62340c523;G1206;Croupier / Croupière;Management, direction d'hôtel, restaurant, loisirs
67d02f4a5ae35db62340c5c8;H2303;Opérateur / Opératrice de fabrication en industrie pharmaceutique;Pharmacie
67d02f4a5ae35db62340c5c8;H2303;Opérateur / Opératrice de fabrication en industrie pharmaceutique;Biologie, santé, sciences physiques
67d02f4a5ae35db62340c5c8;H2303;Opérateur / Opératrice de fabrication en industrie pharmaceutique;Chimie
67d02f4c5ae35db62340c6f0;K2109;Professeur / Professeure d'enseignement professionnel;Enseignement, Recherche
67d02f4c5ae35db62340c6f0;K2109;Professeur / Professeure d'enseignement professionnel;Formation
67d02f4e5ae35db62340c7e3;N3101;Capitaine de port;Transport fluvial et maritime
67d02f4e5ae35db62340c7e4;N3102;Marin;Transport fluvial et maritime
67d02f4e5ae35db62340c7e4;N3102;Marin;Elevage de poissons, produits de la mer
67d02f4e5ae35db62340c7e6;N3201;Agent / Agente de port de plaisance;Transport fluvial et maritime
67d02f4e5ae35db62340c7e6;N3201;Agent / Agente de port de plaisance;Accueil touristique
