"code_rome","code_fiche_metier","code_ogr","libelle_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","code_rome_parent"
"A1101","11","6","Conducteur / Conductrice d'engins agricoles","Emploi Blanc","","","","","A1101"
"A1102","30047","403950","Conducteur / Conductrice d'engins d'exploitation forestière","Emploi stratégique pour la Transition écologique","","","","","A1101"
"A1201","19","7","Bûcheron / Bûcheronne","Emploi stratégique pour la Transition écologique","N","N","N","N","A1201"
"A1202","15","8","Agent / Agente d'entretien des espaces naturels","Emploi Vert","N","N","N","N","A1202"
"A1203","16","9","Agent / Agente d'entretien des espaces verts","Emploi stratégique pour la Transition écologique","N","N","N","N","A1203"
"A1204","13","10","Garde de parc naturel","Emploi Vert","","","","","A1204"
"A1205","18","11","Sylviculteur / Sylvicultrice","Emploi stratégique pour la Transition écologique","N","N","N","N","A1205"
"A1206","32616","488634","Concepteur / Conceptrice paysagiste","Emploi Vert","N","N","O","O","F1101"
"A1207","32622","488640","Chef / Cheffe d'équipe d'entretien d'espaces naturels","Emploi Vert","N","N","N","N","A1202"
"A1208","32651","488734","Jardinier / Jardinière paysagiste","Emploi Vert","N","N","N","N","A1203"
"A1209","32672","488755","Elagueur / Elagueuse","Emploi stratégique pour la Transition écologique","N","N","N","N","A1201"
"A1210","32715","488859","Ouvrier forestier / Ouvrière forestière","Emploi stratégique pour la Transition écologique","N","N","N","N","A1205"
"A1211","32826","489042","Chef / Cheffe d'équipe paysagiste","Emploi stratégique pour la Transition écologique","N","N","N","N","A1203"
"A1212","32842","489058","Chef / Cheffe d'équipe de travaux forestiers","Emploi stratégique pour la Transition écologique","N","N","N","N","A1205"
"A1213","32871","489160","Conducteur / Conductrice de travaux forestiers","Emploi stratégique pour la Transition écologique","N","N","N","N","A1205"
"A1214","33492","510256","Patrouilleur modeleur / Patrouilleuse modeleuse VTT","Emploi stratégique pour la Transition écologique","N","N","N","N","A1202"
"A1301","27","12","Technicien / Technicienne de culture maraîchère","Emploi Vert","","","","","A1301"
